"run_id","prompt_id","engine","domain","source_url","source_type","cited","mentioned","position","notes"
"P0-F01-COPILOT","F01","Copilot","unknown","unknown","official government/consular","unknown","unknown","unknown","BOE observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-COPILOT","F01","Copilot","unknown","unknown","insurer/regulator","unknown","unknown","unknown","Sanitas observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-COPILOT","F01","Copilot","unknown","unknown","insurer/regulator","unknown","unknown","unknown","SegurCaixa Adeslas observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-COPILOT","F01","Copilot","unknown","unknown","insurer/regulator","unknown","unknown","unknown","ASISA observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-COPILOT","F01","Copilot","unknown","unknown","insurer/regulator","unknown","unknown","unknown","DKV observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-PERPLEXITY","F01","Perplexity","unknown","unknown","private specialist/intermediary","unknown","unknown","unknown","Interlink Agency observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-PERPLEXITY","F01","Perplexity","unknown","unknown","private specialist/intermediary","unknown","unknown","unknown","Student Insurance observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-PERPLEXITY","F01","Perplexity","unknown","unknown","private specialist/intermediary","unknown","unknown","unknown","Tu Visado Online observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-PERPLEXITY","F01","Perplexity","unknown","unknown","private specialist/intermediary","unknown","unknown","unknown","Tu Póliza de Salud observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-PERPLEXITY","F01","Perplexity","unknown","unknown","private specialist/intermediary","unknown","unknown","unknown","Stusol observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-PERPLEXITY","F01","Perplexity","unknown","unknown","private specialist/intermediary","unknown","unknown","unknown","ASISA observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-PERPLEXITY","F01","Perplexity","unknown","unknown","private specialist/intermediary","unknown","unknown","unknown","Sanitasinfo observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-PERPLEXITY","F01","Perplexity","unknown","unknown","private specialist/intermediary","unknown","unknown","unknown","AMB Seguros observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-PERPLEXITY","F01","Perplexity","unknown","unknown","private specialist/intermediary","unknown","unknown","unknown","Nueva Mutua Sanitaria observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-F01-PERPLEXITY","F01","Perplexity","unknown","unknown","private specialist/intermediary","unknown","unknown","unknown","ASSSA observed in manual capture; exact URL was not supplied, so no URL was invented."
"P0-N01-CHATGPT","N01","ChatGPT","gestiondeautonomos.es","https://gestiondeautonomos.es/autonomos/","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-CHATGPT","N01","ChatGPT","lanubefiscal.es","https://www.lanubefiscal.es/autonomos/","other","no","yes","unknown","N01 source supplied in manual capture."
"P0-N01-CHATGPT","N01","ChatGPT","legatik.es","https://legatik.es/","other","no","yes","unknown","N01 source supplied in manual capture."
"P0-N01-CHATGPT","N01","ChatGPT","asesorus.com","https://asesorus.com/","other","no","yes","unknown","N01 source supplied in manual capture."
"P0-N01-CHATGPT","N01","ChatGPT","www.billeo.es","https://www.billeo.es/gestoria-madrid","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-GOOGLE","N01","Google AI Mode","www.xtudeo.com","https://www.xtudeo.com/blog/mejor-gestoria-online-para-autonomos/","other","no","yes","unknown","N01 source supplied in manual capture."
"P0-N01-GOOGLE","N01","Google AI Mode","asesorages.com","https://asesorages.com/","other","no","yes","unknown","N01 source supplied in manual capture."
"P0-N01-GOOGLE","N01","Google AI Mode","gestoriaonlinefal.es","https://gestoriaonlinefal.es/gestoria-online-autonomos/","other","no","yes","unknown","N01 source supplied in manual capture."
"P0-N01-GOOGLE","N01","Google AI Mode","borjagiron.com","https://borjagiron.com/gestoria-autonomos/","other","no","yes","unknown","N01 source supplied in manual capture."
"P0-N01-GOOGLE","N01","Google AI Mode","www.gestoria.online","https://www.gestoria.online/","other","no","yes","unknown","N01 source supplied in manual capture."
"P0-N01-COPILOT","N01","Microsoft Copilot","www.gestoriaboadilla.com","http://www.gestoriaboadilla.com/","other","yes","yes","unknown","N01 source supplied in manual capture; documentary business-site URL only."
"P0-N01-COPILOT","N01","Microsoft Copilot","www.nedumarasesores.es","https://www.nedumarasesores.es/es/","other","yes","yes","unknown","N01 source supplied in manual capture; documentary business-site URL only."
"P0-N01-COPILOT","N01","Microsoft Copilot","www.audicef.com","http://www.audicef.com/","other","yes","yes","unknown","N01 source supplied in manual capture; documentary business-site URL only."
"P0-N01-COPILOT","N01","Microsoft Copilot","www.gestoriagarrido.es","https://www.gestoriagarrido.es/","other","yes","yes","unknown","N01 source supplied in manual capture; documentary business-site URL only."
"P0-N01-PERPLEXITY","N01","Perplexity","guiafiscal.es","https://guiafiscal.es/comparativas/mejor-gestoria-online/","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","asesoreseyj.es","https://asesoreseyj.es/gestoria-autonomos-madrid/","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","asesoriaduquedejuana.com","https://asesoriaduquedejuana.com/gestoria-autonomos/","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","palenciaasesores.es","https://palenciaasesores.es/mejores-gestorias-online-autonomos/","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","gestoriaonlineautonomos.es","https://gestoriaonlineautonomos.es/madrid/","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","www.billeo.es","https://www.billeo.es/gestoria-madrid","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","www.billeo.es","https://www.billeo.es/mejor-gestoria-online","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","nopapeleo.com","https://nopapeleo.com/comparativas/xolo-vs-taxfix-vs-declarando/","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","www.billeo.es","https://www.billeo.es/gestoria","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","tuspapelesautonomos.es","https://tuspapelesautonomos.es/mejor-gestoria-online-autonomos/","other","no","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","conversoriaecnae.substack.com","https://conversoriaecnae.substack.com/p/asesoria-fiscal-en-madrid-guia-completa","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","www.libretax.es","https://www.libretax.es/asesoria-autonomos/","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","moguel.net","https://moguel.net/cuanto-cobra-una-gestoria-por-llevar-la-contabilidad-de-un-autonomo-en-2026/","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","trustlocal.es","https://trustlocal.es/coste/asesores-fiscales-coste/","other","yes","yes","unknown","N01 source supplied in manual capture."
"P0-N01-PERPLEXITY","N01","Perplexity","grupogestoriaymas.com","https://grupogestoriaymas.com/gestoria-y-asesoria-espana/","other","no","yes","unknown","N01 source supplied in manual capture."
