measurement_version,run_id,layer,prompt_id,variant_id,prompt_text,family,engine,engine_surface,run_sequence,status,capture_ref
"post-f1a-entity-v1","Z1-E03-A-PERPLEXITY","A","E03","A","¿Valentín Protección Integral es una aseguradora, correduría o agencia de seguros?","entity","Perplexity","Perplexity","12","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E03-A-PERPLEXITY/response.txt"
"post-f1a-entity-v1","Z1-E04-A-CHATGPT","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","entity","ChatGPT","ChatGPT","13","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E04-A-CHATGPT/response.txt"
"post-f1a-entity-v1","Z1-E04-A-GOOGLE","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","entity","Google","Google generative search surface","14","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E04-A-GOOGLE/response.txt"
"post-f1a-entity-v1","Z1-E04-A-COPILOT","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","entity","Copilot","Microsoft Copilot","15","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E04-A-COPILOT/response.txt"
"post-f1a-entity-v1","Z1-E04-A-PERPLEXITY","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","entity","Perplexity","Perplexity","16","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E04-A-PERPLEXITY/response.txt"
"post-f1a-entity-v1","Z1-E05-A-CHATGPT","A","E05","A","What is Valentín Protección Integral?","entity","ChatGPT","ChatGPT","17","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E05-A-CHATGPT/response.txt"
"post-f1a-entity-v1","Z1-E05-A-GOOGLE","A","E05","A","What is Valentín Protección Integral?","entity","Google","Google generative search surface","18","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E05-A-GOOGLE/response.txt"
"post-f1a-entity-v1","Z1-E05-A-COPILOT","A","E05","A","What is Valentín Protección Integral?","entity","Copilot","Microsoft Copilot","19","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E05-A-COPILOT/response.txt"
"post-f1a-entity-v1","Z1-E05-A-PERPLEXITY","A","E05","A","What is Valentín Protección Integral?","entity","Perplexity","Perplexity","20","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E05-A-PERPLEXITY/response.txt"
"post-f1a-entity-v1","Z1-E06-A-CHATGPT","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","entity","ChatGPT","ChatGPT","21","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E06-A-CHATGPT/response.txt"
"post-f1a-entity-v1","Z1-E06-A-GOOGLE","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","entity","Google","Google generative search surface","22","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E06-A-GOOGLE/response.txt"
"post-f1a-entity-v1","Z1-E06-A-COPILOT","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","entity","Copilot","Microsoft Copilot","23","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E06-A-COPILOT/response.txt"
"post-f1a-entity-v1","Z1-E06-A-PERPLEXITY","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","entity","Perplexity","Perplexity","24","not_executed_by_design","artifacts/ai-visibility/f1-post/Z1-E06-A-PERPLEXITY/response.txt"
