"queue_sequence","group_id","layer","prompt_id","variant_id","exact_prompt","run_ids","execution_state","core_counted"
"1","E01-A","A","E01","A","¿Qué es Valentín Protección Integral?","Z0-E01-A-CHATGPT ; Z0-E01-A-GOOGLE ; Z0-E01-A-COPILOT ; Z0-E01-A-PERPLEXITY","complete","yes"
"12","F06-A","A","F06","A","¿Qué debería comprobar un estudiante extranjero antes de contratar un seguro médico para venir a España?","Z0-F06-A-CHATGPT ; Z0-F06-A-GOOGLE ; Z0-F06-A-COPILOT ; Z0-F06-A-PERPLEXITY","pending","yes"
"13","F07-A","A","F07","A","Health insurance for an international student visa in Spain","Z0-F07-A-CHATGPT ; Z0-F07-A-GOOGLE ; Z0-F07-A-COPILOT ; Z0-F07-A-PERPLEXITY","pending","yes"
"14","F08-A","A","F08","A","Can I buy Spanish private health insurance before I have a NIE?","Z0-F08-A-CHATGPT ; Z0-F08-A-GOOGLE ; Z0-F08-A-COPILOT ; Z0-F08-A-PERPLEXITY","pending","yes"
"15","F09-A","A","F09","A","How can I arrange health insurance before moving to Spain for university?","Z0-F09-A-CHATGPT ; Z0-F09-A-GOOGLE ; Z0-F09-A-COPILOT ; Z0-F09-A-PERPLEXITY","pending","yes"
"16","F10-A","A","F10","A","I am moving from the US to Madrid for a master's degree. What health insurance do I need for my student visa?","Z0-F10-A-CHATGPT ; Z0-F10-A-GOOGLE ; Z0-F10-A-COPILOT ; Z0-F10-A-PERPLEXITY","pending","yes"
"17","F11-A","A","F11","A","What should an international student check before buying private health insurance in Spain?","Z0-F11-A-CHATGPT ; Z0-F11-A-GOOGLE ; Z0-F11-A-COPILOT ; Z0-F11-A-PERPLEXITY","pending","yes"
"18","F12-A","A","F12","A","What companies can help an international student arrange health insurance before moving to Spain?","Z0-F12-A-CHATGPT ; Z0-F12-A-GOOGLE ; Z0-F12-A-COPILOT ; Z0-F12-A-PERPLEXITY","pending","yes"
"19","C01-A","A","C01","A","¿Es obligatorio contratar un seguro de vida con una hipoteca en España?","Z0-C01-A-CHATGPT ; Z0-C01-A-GOOGLE ; Z0-C01-A-COPILOT ; Z0-C01-A-PERPLEXITY","pending","yes"
"20","C02-A","A","C02","A","¿Qué seguro de salud privado conviene a un autónomo en Madrid?","Z0-C02-A-CHATGPT ; Z0-C02-A-GOOGLE ; Z0-C02-A-COPILOT ; Z0-C02-A-PERPLEXITY","pending","yes"
"21","C03-A","A","C03","A","¿Qué cubre un seguro de decesos familiar?","Z0-C03-A-CHATGPT ; Z0-C03-A-GOOGLE ; Z0-C03-A-COPILOT ; Z0-C03-A-PERPLEXITY","pending","yes"
"22","C04-A","A","C04","A","¿Es obligatorio el seguro de responsabilidad civil para perros en Madrid?","Z0-C04-A-CHATGPT ; Z0-C04-A-GOOGLE ; Z0-C04-A-COPILOT ; Z0-C04-A-PERPLEXITY","pending","yes"
"23","C05-A","A","C05","A","Do I need life insurance with a mortgage in Spain?","Z0-C05-A-CHATGPT ; Z0-C05-A-GOOGLE ; Z0-C05-A-COPILOT ; Z0-C05-A-PERPLEXITY","pending","yes"
"24","C06-A","A","C06","A","What should I compare when choosing private health insurance in Spain?","Z0-C06-A-CHATGPT ; Z0-C06-A-GOOGLE ; Z0-C06-A-COPILOT ; Z0-C06-A-PERPLEXITY","pending","yes"
"25","N01-A","A","N01","A","¿Qué gestoría me puede llevar la contabilidad trimestral de un autónomo?","Z0-N01-A-CHATGPT ; Z0-N01-A-GOOGLE ; Z0-N01-A-COPILOT ; Z0-N01-A-PERPLEXITY","pending","yes"
"26","N02-A","A","N02","A","¿Qué abogado de extranjería me recomiendas para recurrir una denegación de visado?","Z0-N02-A-CHATGPT ; Z0-N02-A-GOOGLE ; Z0-N02-A-COPILOT ; Z0-N02-A-PERPLEXITY","pending","yes"
"27","N03-A","A","N03","A","¿Dónde estudiar inglés intensivo en Madrid?","Z0-N03-A-CHATGPT ; Z0-N03-A-GOOGLE ; Z0-N03-A-COPILOT ; Z0-N03-A-PERPLEXITY","pending","yes"
"28","N04-A","A","N04","A","Best mortgage lender in Spain for non-residents","Z0-N04-A-CHATGPT ; Z0-N04-A-GOOGLE ; Z0-N04-A-COPILOT ; Z0-N04-A-PERPLEXITY","pending","yes"
"29","N05-A","A","N05","A","What is the best car rental company in Madrid?","Z0-N05-A-CHATGPT ; Z0-N05-A-GOOGLE ; Z0-N05-A-COPILOT ; Z0-N05-A-PERPLEXITY","pending","yes"
"30","N06-A","A","N06","A","¿Qué banco ofrece una buena cuenta para estudiantes extranjeros en España?","Z0-N06-A-CHATGPT ; Z0-N06-A-GOOGLE ; Z0-N06-A-COPILOT ; Z0-N06-A-PERPLEXITY","pending","yes"
