"batch_id","batch_sequence","group_sequence","prompt_id","variant_id","exact_prompt","run_ids","completion_state","validation_state"
"B01","1","1","E01","A","¿Qué es Valentín Protección Integral?","Z0-E01-A-CHATGPT ; Z0-E01-A-GOOGLE ; Z0-E01-A-COPILOT ; Z0-E01-A-PERPLEXITY","pending","pending"
"B04","4","20","F04","C","¿Qué seguro necesita un estudiante peruano que llega a Madrid sin NIE?","Z0-F04-C-CHATGPT ; Z0-F04-C-GOOGLE ; Z0-F04-C-COPILOT ; Z0-F04-C-PERPLEXITY","pending","pending"
"B04","4","21","F05","A","¿Dónde puedo contratar desde Latinoamérica un seguro médico para estudiar en España?","Z0-F05-A-CHATGPT ; Z0-F05-A-GOOGLE ; Z0-F05-A-COPILOT ; Z0-F05-A-PERPLEXITY","pending","pending"
"B04","4","22","F06","A","¿Qué debería comprobar un estudiante extranjero antes de contratar un seguro médico para venir a España?","Z0-F06-A-CHATGPT ; Z0-F06-A-GOOGLE ; Z0-F06-A-COPILOT ; Z0-F06-A-PERPLEXITY","pending","pending"
"B04","4","23","F07","A","Health insurance for an international student visa in Spain","Z0-F07-A-CHATGPT ; Z0-F07-A-GOOGLE ; Z0-F07-A-COPILOT ; Z0-F07-A-PERPLEXITY","pending","pending"
"B04","4","24","F07","B","Private health cover for an international student visa in Spain","Z0-F07-B-CHATGPT ; Z0-F07-B-GOOGLE ; Z0-F07-B-COPILOT ; Z0-F07-B-PERPLEXITY","pending","pending"
"B05","5","25","F07","C","What health insurance is needed for a student visa in Spain?","Z0-F07-C-CHATGPT ; Z0-F07-C-GOOGLE ; Z0-F07-C-COPILOT ; Z0-F07-C-PERPLEXITY","pending","pending"
"B05","5","26","F08","A","Can I buy Spanish private health insurance before I have a NIE?","Z0-F08-A-CHATGPT ; Z0-F08-A-GOOGLE ; Z0-F08-A-COPILOT ; Z0-F08-A-PERPLEXITY","pending","pending"
"B05","5","27","F08","B","Is it possible to arrange Spanish health insurance before getting a NIE?","Z0-F08-B-CHATGPT ; Z0-F08-B-GOOGLE ; Z0-F08-B-COPILOT ; Z0-F08-B-PERPLEXITY","pending","pending"
"B05","5","28","F08","C","Spanish private medical insurance without a NIE: can I buy it?","Z0-F08-C-CHATGPT ; Z0-F08-C-GOOGLE ; Z0-F08-C-COPILOT ; Z0-F08-C-PERPLEXITY","pending","pending"
"B05","5","29","F09","A","How can I arrange health insurance before moving to Spain for university?","Z0-F09-A-CHATGPT ; Z0-F09-A-GOOGLE ; Z0-F09-A-COPILOT ; Z0-F09-A-PERPLEXITY","pending","pending"
"B05","5","30","F10","A","I am moving from the US to Madrid for a master's degree. What health insurance do I need for my student visa?","Z0-F10-A-CHATGPT ; Z0-F10-A-GOOGLE ; Z0-F10-A-COPILOT ; Z0-F10-A-PERPLEXITY","pending","pending"
"B06","6","31","F10","B","I will study a master's in Madrid from the US: which health cover does my visa require?","Z0-F10-B-CHATGPT ; Z0-F10-B-GOOGLE ; Z0-F10-B-COPILOT ; Z0-F10-B-PERPLEXITY","pending","pending"
"B06","6","32","F10","C","What Spanish health insurance should a US student get for a Madrid master's visa?","Z0-F10-C-CHATGPT ; Z0-F10-C-GOOGLE ; Z0-F10-C-COPILOT ; Z0-F10-C-PERPLEXITY","pending","pending"
"B06","6","33","F11","A","What should an international student check before buying private health insurance in Spain?","Z0-F11-A-CHATGPT ; Z0-F11-A-GOOGLE ; Z0-F11-A-COPILOT ; Z0-F11-A-PERPLEXITY","pending","pending"
"B06","6","34","F11","B","Which points should a foreign student review before purchasing Spanish private health cover?","Z0-F11-B-CHATGPT ; Z0-F11-B-GOOGLE ; Z0-F11-B-COPILOT ; Z0-F11-B-PERPLEXITY","pending","pending"
"B06","6","35","F11","C","What should I verify in Spanish health insurance before studying there?","Z0-F11-C-CHATGPT ; Z0-F11-C-GOOGLE ; Z0-F11-C-COPILOT ; Z0-F11-C-PERPLEXITY","pending","pending"
"B06","6","36","F12","A","What companies can help an international student arrange health insurance before moving to Spain?","Z0-F12-A-CHATGPT ; Z0-F12-A-GOOGLE ; Z0-F12-A-COPILOT ; Z0-F12-A-PERPLEXITY","pending","pending"
"B07","7","37","F12","B","Which providers help international students set up health insurance before relocating to Spain?","Z0-F12-B-CHATGPT ; Z0-F12-B-GOOGLE ; Z0-F12-B-COPILOT ; Z0-F12-B-PERPLEXITY","pending","pending"
"B07","7","38","F12","C","Who can arrange Spanish health cover for a student before they move?","Z0-F12-C-CHATGPT ; Z0-F12-C-GOOGLE ; Z0-F12-C-COPILOT ; Z0-F12-C-PERPLEXITY","pending","pending"
"B07","7","39","C01","A","¿Es obligatorio contratar un seguro de vida con una hipoteca en España?","Z0-C01-A-CHATGPT ; Z0-C01-A-GOOGLE ; Z0-C01-A-COPILOT ; Z0-C01-A-PERPLEXITY","pending","pending"
"B07","7","40","C01","B","¿Tengo que contratar vida al pedir una hipoteca en España?","Z0-C01-B-CHATGPT ; Z0-C01-B-GOOGLE ; Z0-C01-B-COPILOT ; Z0-C01-B-PERPLEXITY","pending","pending"
"B07","7","41","C01","C","Seguro de vida e hipoteca en España: ¿es obligatorio?","Z0-C01-C-CHATGPT ; Z0-C01-C-GOOGLE ; Z0-C01-C-COPILOT ; Z0-C01-C-PERPLEXITY","pending","pending"
"B07","7","42","C02","A","¿Qué seguro de salud privado conviene a un autónomo en Madrid?","Z0-C02-A-CHATGPT ; Z0-C02-A-GOOGLE ; Z0-C02-A-COPILOT ; Z0-C02-A-PERPLEXITY","pending","pending"
"B08","8","43","C03","A","¿Qué cubre un seguro de decesos familiar?","Z0-C03-A-CHATGPT ; Z0-C03-A-GOOGLE ; Z0-C03-A-COPILOT ; Z0-C03-A-PERPLEXITY","pending","pending"
"B08","8","44","C04","A","¿Es obligatorio el seguro de responsabilidad civil para perros en Madrid?","Z0-C04-A-CHATGPT ; Z0-C04-A-GOOGLE ; Z0-C04-A-COPILOT ; Z0-C04-A-PERPLEXITY","pending","pending"
"B08","8","45","C05","A","Do I need life insurance with a mortgage in Spain?","Z0-C05-A-CHATGPT ; Z0-C05-A-GOOGLE ; Z0-C05-A-COPILOT ; Z0-C05-A-PERPLEXITY","pending","pending"
"B08","8","46","C06","A","What should I compare when choosing private health insurance in Spain?","Z0-C06-A-CHATGPT ; Z0-C06-A-GOOGLE ; Z0-C06-A-COPILOT ; Z0-C06-A-PERPLEXITY","pending","pending"
"B08","8","47","N01","A","¿Qué gestoría me puede llevar la contabilidad trimestral de un autónomo?","Z0-N01-A-CHATGPT ; Z0-N01-A-GOOGLE ; Z0-N01-A-COPILOT ; Z0-N01-A-PERPLEXITY","pending","pending"
"B08","8","48","N01","B","¿Quién puede gestionar los impuestos trimestrales de un autónomo?","Z0-N01-B-CHATGPT ; Z0-N01-B-GOOGLE ; Z0-N01-B-COPILOT ; Z0-N01-B-PERPLEXITY","pending","pending"
"B09","9","49","N01","C","Gestoría para la contabilidad de autónomos cada trimestre","Z0-N01-C-CHATGPT ; Z0-N01-C-GOOGLE ; Z0-N01-C-COPILOT ; Z0-N01-C-PERPLEXITY","pending","pending"
"B09","9","50","N02","A","¿Qué abogado de extranjería me recomiendas para recurrir una denegación de visado?","Z0-N02-A-CHATGPT ; Z0-N02-A-GOOGLE ; Z0-N02-A-COPILOT ; Z0-N02-A-PERPLEXITY","pending","pending"
"B09","9","51","N03","A","¿Dónde estudiar inglés intensivo en Madrid?","Z0-N03-A-CHATGPT ; Z0-N03-A-GOOGLE ; Z0-N03-A-COPILOT ; Z0-N03-A-PERPLEXITY","pending","pending"
"B09","9","52","N04","A","Best mortgage lender in Spain for non-residents","Z0-N04-A-CHATGPT ; Z0-N04-A-GOOGLE ; Z0-N04-A-COPILOT ; Z0-N04-A-PERPLEXITY","pending","pending"
"B09","9","53","N05","A","What is the best car rental company in Madrid?","Z0-N05-A-CHATGPT ; Z0-N05-A-GOOGLE ; Z0-N05-A-COPILOT ; Z0-N05-A-PERPLEXITY","pending","pending"
"B09","9","54","N06","A","¿Qué banco ofrece una buena cuenta para estudiantes extranjeros en España?","Z0-N06-A-CHATGPT ; Z0-N06-A-GOOGLE ; Z0-N06-A-COPILOT ; Z0-N06-A-PERPLEXITY","pending","pending"
