baseline_version,run_id,layer,prompt_id,variant_id,prompt_text,family,engine,engine_surface,run_sequence,status,capture_ref
"zero-v0","Z0-E03-B-CHATGPT","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","entity","ChatGPT","ChatGPT","21","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-CHATGPT/response.txt"
"zero-v0","Z0-E03-B-GOOGLE","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","entity","Google","Google generative search surface","22","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-GOOGLE/response.txt"
"zero-v0","Z0-E03-B-COPILOT","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","entity","Copilot","Microsoft Copilot","23","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-COPILOT/response.txt"
"zero-v0","Z0-E03-B-PERPLEXITY","B","E03","B","¿Qué tipo de negocio de seguros es Valentín Protección Integral?","entity","Perplexity","Perplexity","24","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-B-PERPLEXITY/response.txt"
"zero-v0","Z0-E03-C-CHATGPT","B","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","entity","ChatGPT","ChatGPT","25","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-C-CHATGPT/response.txt"
"zero-v0","Z0-E03-C-GOOGLE","B","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","entity","Google","Google generative search surface","26","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-C-GOOGLE/response.txt"
"zero-v0","Z0-E03-C-COPILOT","B","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","entity","Copilot","Microsoft Copilot","27","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-C-COPILOT/response.txt"
"zero-v0","Z0-E03-C-PERPLEXITY","B","E03","C","¿Valentín Protección Integral actúa como aseguradora o agencia?","entity","Perplexity","Perplexity","28","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E03-C-PERPLEXITY/response.txt"
"zero-v0","Z0-E04-A-CHATGPT","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","entity","ChatGPT","ChatGPT","29","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E04-A-CHATGPT/response.txt"
"zero-v0","Z0-E04-A-GOOGLE","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","entity","Google","Google generative search surface","30","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E04-A-GOOGLE/response.txt"
"zero-v0","Z0-E04-A-COPILOT","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","entity","Copilot","Microsoft Copilot","31","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E04-A-COPILOT/response.txt"
"zero-v0","Z0-E04-A-PERPLEXITY","A","E04","A","¿Quiénes son Rosa y Sebastián en Valentín Protección Integral?","entity","Perplexity","Perplexity","32","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E04-A-PERPLEXITY/response.txt"
"zero-v0","Z0-E05-A-CHATGPT","A","E05","A","What is Valentín Protección Integral?","entity","ChatGPT","ChatGPT","33","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-A-CHATGPT/response.txt"
"zero-v0","Z0-E05-A-GOOGLE","A","E05","A","What is Valentín Protección Integral?","entity","Google","Google generative search surface","34","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-A-GOOGLE/response.txt"
"zero-v0","Z0-E05-A-COPILOT","A","E05","A","What is Valentín Protección Integral?","entity","Copilot","Microsoft Copilot","35","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-A-COPILOT/response.txt"
"zero-v0","Z0-E05-A-PERPLEXITY","A","E05","A","What is Valentín Protección Integral?","entity","Perplexity","Perplexity","36","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-A-PERPLEXITY/response.txt"
"zero-v0","Z0-E05-B-CHATGPT","B","E05","B","What does Valentín Protección Integral do?","entity","ChatGPT","ChatGPT","37","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-B-CHATGPT/response.txt"
"zero-v0","Z0-E05-B-GOOGLE","B","E05","B","What does Valentín Protección Integral do?","entity","Google","Google generative search surface","38","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-B-GOOGLE/response.txt"
"zero-v0","Z0-E05-B-COPILOT","B","E05","B","What does Valentín Protección Integral do?","entity","Copilot","Microsoft Copilot","39","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-B-COPILOT/response.txt"
"zero-v0","Z0-E05-B-PERPLEXITY","B","E05","B","What does Valentín Protección Integral do?","entity","Perplexity","Perplexity","40","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-B-PERPLEXITY/response.txt"
"zero-v0","Z0-E05-C-CHATGPT","B","E05","C","Can you explain what Valentín Protección Integral is?","entity","ChatGPT","ChatGPT","41","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-C-CHATGPT/response.txt"
"zero-v0","Z0-E05-C-GOOGLE","B","E05","C","Can you explain what Valentín Protección Integral is?","entity","Google","Google generative search surface","42","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-C-GOOGLE/response.txt"
"zero-v0","Z0-E05-C-COPILOT","B","E05","C","Can you explain what Valentín Protección Integral is?","entity","Copilot","Microsoft Copilot","43","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-C-COPILOT/response.txt"
"zero-v0","Z0-E05-C-PERPLEXITY","B","E05","C","Can you explain what Valentín Protección Integral is?","entity","Perplexity","Perplexity","44","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-E05-C-PERPLEXITY/response.txt"
"zero-v0","Z0-E06-A-CHATGPT","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","entity","ChatGPT","ChatGPT","45","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E06-A-CHATGPT/response.txt"
"zero-v0","Z0-E06-A-GOOGLE","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","entity","Google","Google generative search surface","46","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E06-A-GOOGLE/response.txt"
"zero-v0","Z0-E06-A-COPILOT","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","entity","Copilot","Microsoft Copilot","47","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E06-A-COPILOT/response.txt"
"zero-v0","Z0-E06-A-PERPLEXITY","A","E06","A","Who runs Valentín Protección Integral and what type of insurance business is it?","entity","Perplexity","Perplexity","48","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-E06-A-PERPLEXITY/response.txt"
"zero-v0","Z0-F01-A-CHATGPT","A","F01","A","Seguro médico para visado de estudios en España","foreigners","ChatGPT","ChatGPT","49","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-A-CHATGPT/response.txt"
"zero-v0","Z0-F01-A-GOOGLE","A","F01","A","Seguro médico para visado de estudios en España","foreigners","Google","Google generative search surface","50","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-A-GOOGLE/response.txt"
"zero-v0","Z0-F01-A-COPILOT","A","F01","A","Seguro médico para visado de estudios en España","foreigners","Copilot","Microsoft Copilot","51","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-A-COPILOT/response.txt"
"zero-v0","Z0-F01-A-PERPLEXITY","A","F01","A","Seguro médico para visado de estudios en España","foreigners","Perplexity","Perplexity","52","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-A-PERPLEXITY/response.txt"
"zero-v0","Z0-F01-B-CHATGPT","B","F01","B","¿Qué seguro médico necesito para un visado de estudios en España?","foreigners","ChatGPT","ChatGPT","53","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-B-CHATGPT/response.txt"
"zero-v0","Z0-F01-B-GOOGLE","B","F01","B","¿Qué seguro médico necesito para un visado de estudios en España?","foreigners","Google","Google generative search surface","54","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-B-GOOGLE/response.txt"
"zero-v0","Z0-F01-B-COPILOT","B","F01","B","¿Qué seguro médico necesito para un visado de estudios en España?","foreigners","Copilot","Microsoft Copilot","55","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-B-COPILOT/response.txt"
"zero-v0","Z0-F01-B-PERPLEXITY","B","F01","B","¿Qué seguro médico necesito para un visado de estudios en España?","foreigners","Perplexity","Perplexity","56","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-B-PERPLEXITY/response.txt"
"zero-v0","Z0-F01-C-CHATGPT","B","F01","C","Seguro privado para visado de estudiante en España","foreigners","ChatGPT","ChatGPT","57","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-C-CHATGPT/response.txt"
"zero-v0","Z0-F01-C-GOOGLE","B","F01","C","Seguro privado para visado de estudiante en España","foreigners","Google","Google generative search surface","58","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-C-GOOGLE/response.txt"
"zero-v0","Z0-F01-C-COPILOT","B","F01","C","Seguro privado para visado de estudiante en España","foreigners","Copilot","Microsoft Copilot","59","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-C-COPILOT/response.txt"
"zero-v0","Z0-F01-C-PERPLEXITY","B","F01","C","Seguro privado para visado de estudiante en España","foreigners","Perplexity","Perplexity","60","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F01-C-PERPLEXITY/response.txt"
"zero-v0","Z0-F02-A-CHATGPT","A","F02","A","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","foreigners","ChatGPT","ChatGPT","61","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F02-A-CHATGPT/response.txt"
"zero-v0","Z0-F02-A-GOOGLE","A","F02","A","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","foreigners","Google","Google generative search surface","62","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F02-A-GOOGLE/response.txt"
"zero-v0","Z0-F02-A-COPILOT","A","F02","A","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","foreigners","Copilot","Microsoft Copilot","63","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F02-A-COPILOT/response.txt"
"zero-v0","Z0-F02-A-PERPLEXITY","A","F02","A","¿Qué seguro médico necesita un estudiante extranjero para estudiar en España?","foreigners","Perplexity","Perplexity","64","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F02-A-PERPLEXITY/response.txt"
"zero-v0","Z0-F03-A-CHATGPT","A","F03","A","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","foreigners","ChatGPT","ChatGPT","65","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F03-A-CHATGPT/response.txt"
"zero-v0","Z0-F03-A-GOOGLE","A","F03","A","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","foreigners","Google","Google generative search surface","66","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F03-A-GOOGLE/response.txt"
"zero-v0","Z0-F03-A-COPILOT","A","F03","A","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","foreigners","Copilot","Microsoft Copilot","67","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F03-A-COPILOT/response.txt"
"zero-v0","Z0-F03-A-PERPLEXITY","A","F03","A","¿Puedo contratar un seguro médico para visado de estudiante sin NIE?","foreigners","Perplexity","Perplexity","68","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F03-A-PERPLEXITY/response.txt"
"zero-v0","Z0-F04-A-CHATGPT","A","F04","A","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","foreigners","ChatGPT","ChatGPT","69","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-A-CHATGPT/response.txt"
"zero-v0","Z0-F04-A-GOOGLE","A","F04","A","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","foreigners","Google","Google generative search surface","70","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-A-GOOGLE/response.txt"
"zero-v0","Z0-F04-A-COPILOT","A","F04","A","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","foreigners","Copilot","Microsoft Copilot","71","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-A-COPILOT/response.txt"
"zero-v0","Z0-F04-A-PERPLEXITY","A","F04","A","Soy peruano y voy a estudiar un máster en Madrid, todavía no tengo NIE. ¿Qué seguro médico necesito para el visado?","foreigners","Perplexity","Perplexity","72","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-A-PERPLEXITY/response.txt"
"zero-v0","Z0-F04-B-CHATGPT","B","F04","B","Voy de Perú a Madrid para estudiar un máster y aún no tengo NIE: ¿qué seguro exige el visado?","foreigners","ChatGPT","ChatGPT","73","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-B-CHATGPT/response.txt"
"zero-v0","Z0-F04-B-GOOGLE","B","F04","B","Voy de Perú a Madrid para estudiar un máster y aún no tengo NIE: ¿qué seguro exige el visado?","foreigners","Google","Google generative search surface","74","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-B-GOOGLE/response.txt"
"zero-v0","Z0-F04-B-COPILOT","B","F04","B","Voy de Perú a Madrid para estudiar un máster y aún no tengo NIE: ¿qué seguro exige el visado?","foreigners","Copilot","Microsoft Copilot","75","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-B-COPILOT/response.txt"
"zero-v0","Z0-F04-B-PERPLEXITY","B","F04","B","Voy de Perú a Madrid para estudiar un máster y aún no tengo NIE: ¿qué seguro exige el visado?","foreigners","Perplexity","Perplexity","76","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-B-PERPLEXITY/response.txt"
"zero-v0","Z0-F04-C-CHATGPT","B","F04","C","¿Qué seguro necesita un estudiante peruano que llega a Madrid sin NIE?","foreigners","ChatGPT","ChatGPT","77","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-C-CHATGPT/response.txt"
"zero-v0","Z0-F04-C-GOOGLE","B","F04","C","¿Qué seguro necesita un estudiante peruano que llega a Madrid sin NIE?","foreigners","Google","Google generative search surface","78","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-C-GOOGLE/response.txt"
"zero-v0","Z0-F04-C-COPILOT","B","F04","C","¿Qué seguro necesita un estudiante peruano que llega a Madrid sin NIE?","foreigners","Copilot","Microsoft Copilot","79","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-C-COPILOT/response.txt"
"zero-v0","Z0-F04-C-PERPLEXITY","B","F04","C","¿Qué seguro necesita un estudiante peruano que llega a Madrid sin NIE?","foreigners","Perplexity","Perplexity","80","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F04-C-PERPLEXITY/response.txt"
"zero-v0","Z0-F05-A-CHATGPT","A","F05","A","¿Dónde puedo contratar desde Latinoamérica un seguro médico para estudiar en España?","foreigners","ChatGPT","ChatGPT","81","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F05-A-CHATGPT/response.txt"
"zero-v0","Z0-F05-A-GOOGLE","A","F05","A","¿Dónde puedo contratar desde Latinoamérica un seguro médico para estudiar en España?","foreigners","Google","Google generative search surface","82","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F05-A-GOOGLE/response.txt"
"zero-v0","Z0-F05-A-COPILOT","A","F05","A","¿Dónde puedo contratar desde Latinoamérica un seguro médico para estudiar en España?","foreigners","Copilot","Microsoft Copilot","83","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F05-A-COPILOT/response.txt"
"zero-v0","Z0-F05-A-PERPLEXITY","A","F05","A","¿Dónde puedo contratar desde Latinoamérica un seguro médico para estudiar en España?","foreigners","Perplexity","Perplexity","84","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F05-A-PERPLEXITY/response.txt"
"zero-v0","Z0-F06-A-CHATGPT","A","F06","A","¿Qué debería comprobar un estudiante extranjero antes de contratar un seguro médico para venir a España?","foreigners","ChatGPT","ChatGPT","85","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F06-A-CHATGPT/response.txt"
"zero-v0","Z0-F06-A-GOOGLE","A","F06","A","¿Qué debería comprobar un estudiante extranjero antes de contratar un seguro médico para venir a España?","foreigners","Google","Google generative search surface","86","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F06-A-GOOGLE/response.txt"
"zero-v0","Z0-F06-A-COPILOT","A","F06","A","¿Qué debería comprobar un estudiante extranjero antes de contratar un seguro médico para venir a España?","foreigners","Copilot","Microsoft Copilot","87","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F06-A-COPILOT/response.txt"
"zero-v0","Z0-F06-A-PERPLEXITY","A","F06","A","¿Qué debería comprobar un estudiante extranjero antes de contratar un seguro médico para venir a España?","foreigners","Perplexity","Perplexity","88","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F06-A-PERPLEXITY/response.txt"
"zero-v0","Z0-F07-A-CHATGPT","A","F07","A","Health insurance for an international student visa in Spain","foreigners","ChatGPT","ChatGPT","89","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-A-CHATGPT/response.txt"
"zero-v0","Z0-F07-A-GOOGLE","A","F07","A","Health insurance for an international student visa in Spain","foreigners","Google","Google generative search surface","90","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-A-GOOGLE/response.txt"
"zero-v0","Z0-F07-A-COPILOT","A","F07","A","Health insurance for an international student visa in Spain","foreigners","Copilot","Microsoft Copilot","91","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-A-COPILOT/response.txt"
"zero-v0","Z0-F07-A-PERPLEXITY","A","F07","A","Health insurance for an international student visa in Spain","foreigners","Perplexity","Perplexity","92","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-A-PERPLEXITY/response.txt"
"zero-v0","Z0-F07-B-CHATGPT","B","F07","B","Private health cover for an international student visa in Spain","foreigners","ChatGPT","ChatGPT","93","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-B-CHATGPT/response.txt"
"zero-v0","Z0-F07-B-GOOGLE","B","F07","B","Private health cover for an international student visa in Spain","foreigners","Google","Google generative search surface","94","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-B-GOOGLE/response.txt"
"zero-v0","Z0-F07-B-COPILOT","B","F07","B","Private health cover for an international student visa in Spain","foreigners","Copilot","Microsoft Copilot","95","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-B-COPILOT/response.txt"
"zero-v0","Z0-F07-B-PERPLEXITY","B","F07","B","Private health cover for an international student visa in Spain","foreigners","Perplexity","Perplexity","96","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-B-PERPLEXITY/response.txt"
"zero-v0","Z0-F07-C-CHATGPT","B","F07","C","What health insurance is needed for a student visa in Spain?","foreigners","ChatGPT","ChatGPT","97","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-C-CHATGPT/response.txt"
"zero-v0","Z0-F07-C-GOOGLE","B","F07","C","What health insurance is needed for a student visa in Spain?","foreigners","Google","Google generative search surface","98","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-C-GOOGLE/response.txt"
"zero-v0","Z0-F07-C-COPILOT","B","F07","C","What health insurance is needed for a student visa in Spain?","foreigners","Copilot","Microsoft Copilot","99","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-C-COPILOT/response.txt"
"zero-v0","Z0-F07-C-PERPLEXITY","B","F07","C","What health insurance is needed for a student visa in Spain?","foreigners","Perplexity","Perplexity","100","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F07-C-PERPLEXITY/response.txt"
"zero-v0","Z0-F08-A-CHATGPT","A","F08","A","Can I buy Spanish private health insurance before I have a NIE?","foreigners","ChatGPT","ChatGPT","101","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-A-CHATGPT/response.txt"
"zero-v0","Z0-F08-A-GOOGLE","A","F08","A","Can I buy Spanish private health insurance before I have a NIE?","foreigners","Google","Google generative search surface","102","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-A-GOOGLE/response.txt"
"zero-v0","Z0-F08-A-COPILOT","A","F08","A","Can I buy Spanish private health insurance before I have a NIE?","foreigners","Copilot","Microsoft Copilot","103","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-A-COPILOT/response.txt"
"zero-v0","Z0-F08-A-PERPLEXITY","A","F08","A","Can I buy Spanish private health insurance before I have a NIE?","foreigners","Perplexity","Perplexity","104","pending","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-A-PERPLEXITY/response.txt"
"zero-v0","Z0-F08-B-CHATGPT","B","F08","B","Is it possible to arrange Spanish health insurance before getting a NIE?","foreigners","ChatGPT","ChatGPT","105","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-B-CHATGPT/response.txt"
"zero-v0","Z0-F08-B-GOOGLE","B","F08","B","Is it possible to arrange Spanish health insurance before getting a NIE?","foreigners","Google","Google generative search surface","106","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-B-GOOGLE/response.txt"
"zero-v0","Z0-F08-B-COPILOT","B","F08","B","Is it possible to arrange Spanish health insurance before getting a NIE?","foreigners","Copilot","Microsoft Copilot","107","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-B-COPILOT/response.txt"
"zero-v0","Z0-F08-B-PERPLEXITY","B","F08","B","Is it possible to arrange Spanish health insurance before getting a NIE?","foreigners","Perplexity","Perplexity","108","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-B-PERPLEXITY/response.txt"
"zero-v0","Z0-F08-C-CHATGPT","B","F08","C","Spanish private medical insurance without a NIE: can I buy it?","foreigners","ChatGPT","ChatGPT","109","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-C-CHATGPT/response.txt"
"zero-v0","Z0-F08-C-GOOGLE","B","F08","C","Spanish private medical insurance without a NIE: can I buy it?","foreigners","Google","Google generative search surface","110","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-C-GOOGLE/response.txt"
"zero-v0","Z0-F08-C-COPILOT","B","F08","C","Spanish private medical insurance without a NIE: can I buy it?","foreigners","Copilot","Microsoft Copilot","111","deferred_robustness","artifacts/ai-visibility/f0-zero-baseline/Z0-F08-C-COPILOT/response.txt"
