"prompt_id","prompt_family","canonical_prompt","variant_A","variant_B","variant_C","sentinel","target_control_class","language","intent_description"
"F05","foreigners","¿Dónde puedo contratar desde Latinoamérica un seguro médico para estudiar en España?","¿Dónde puedo contratar desde Latinoamérica un seguro médico para estudiar en España?","¿Cómo contrato desde Latinoamérica un seguro de salud para venir a estudiar a España?","Seguro médico español para estudiantes que lo contratan desde Latinoamérica","no","primary","es","arrange from Latin America"
"F06","foreigners","¿Qué debería comprobar un estudiante extranjero antes de contratar un seguro médico para venir a España?","¿Qué debería comprobar un estudiante extranjero antes de contratar un seguro médico para venir a España?","¿Qué debe revisar un estudiante internacional antes de comprar seguro médico para España?","Puntos que debe comprobar un estudiante extranjero al elegir seguro de salud en España","no","primary","es","pre-purchase checks"
"F07","foreigners","Health insurance for an international student visa in Spain","Health insurance for an international student visa in Spain","Private health cover for an international student visa in Spain","What health insurance is needed for a student visa in Spain?","yes","primary","en","study visa health insurance"
"F08","foreigners","Can I buy Spanish private health insurance before I have a NIE?","Can I buy Spanish private health insurance before I have a NIE?","Is it possible to arrange Spanish health insurance before getting a NIE?","Spanish private medical insurance without a NIE: can I buy it?","yes","primary","en","insurance before NIE"
"F09","foreigners","How can I arrange health insurance before moving to Spain for university?","How can I arrange health insurance before moving to Spain for university?","How do I get health cover before relocating to Spain to study?","Arranging Spanish health insurance before moving for university","no","primary","en","arrange before university move"
"F10","foreigners","I am moving from the US to Madrid for a master's degree. What health insurance do I need for my student visa?","I am moving from the US to Madrid for a master's degree. What health insurance do I need for my student visa?","I will study a master's in Madrid from the US: which health cover does my visa require?","What Spanish health insurance should a US student get for a Madrid master's visa?","yes","primary","en","US student in Madrid"
"F11","foreigners","What should an international student check before buying private health insurance in Spain?","What should an international student check before buying private health insurance in Spain?","Which points should a foreign student review before purchasing Spanish private health cover?","What should I verify in Spanish health insurance before studying there?","yes","primary","en","pre-purchase checks"
"F12","foreigners","What companies can help an international student arrange health insurance before moving to Spain?","What companies can help an international student arrange health insurance before moving to Spain?","Which providers help international students set up health insurance before relocating to Spain?","Who can arrange Spanish health cover for a student before they move?","yes","primary","en","provider discovery"
"C01","future_control","¿Es obligatorio contratar un seguro de vida con una hipoteca en España?","¿Es obligatorio contratar un seguro de vida con una hipoteca en España?","¿Tengo que contratar vida al pedir una hipoteca en España?","Seguro de vida e hipoteca en España: ¿es obligatorio?","yes","control","es","mortgage life insurance requirement"
"C02","future_control","¿Qué seguro de salud privado conviene a un autónomo en Madrid?","¿Qué seguro de salud privado conviene a un autónomo en Madrid?","¿Cuál es un buen seguro médico para autónomos en Madrid?","Opciones de salud privada para trabajadores autónomos madrileños","no","control","es","self-employed health insurance"
"C03","future_control","¿Qué cubre un seguro de decesos familiar?","¿Qué cubre un seguro de decesos familiar?","¿Qué incluye una póliza familiar de decesos?","Coberturas habituales de un seguro de decesos para familias","no","control","es","family funeral cover"
"C04","future_control","¿Es obligatorio el seguro de responsabilidad civil para perros en Madrid?","¿Es obligatorio el seguro de responsabilidad civil para perros en Madrid?","¿Necesitan los perros un seguro de responsabilidad civil en Madrid?","Responsabilidad civil para perros en Madrid: ¿es obligatoria?","no","control","es","dog liability requirement"
"C05","future_control","Do I need life insurance with a mortgage in Spain?","Do I need life insurance with a mortgage in Spain?","Is life cover required when taking out a mortgage in Spain?","Spanish mortgages and life insurance: is it compulsory?","no","control","en","mortgage life insurance requirement"
"C06","future_control","What should I compare when choosing private health insurance in Spain?","What should I compare when choosing private health insurance in Spain?","Which factors matter when comparing private medical insurance in Spain?","How should I compare Spanish private health cover?","no","control","en","compare private health insurance"
"N01","negative","¿Qué gestoría me puede llevar la contabilidad trimestral de un autónomo?","¿Qué gestoría me puede llevar la contabilidad trimestral de un autónomo?","¿Quién puede gestionar los impuestos trimestrales de un autónomo?","Gestoría para la contabilidad de autónomos cada trimestre","yes","negative","es","quarterly accounting provider"
"N02","negative","¿Qué abogado de extranjería me recomiendas para recurrir una denegación de visado?","¿Qué abogado de extranjería me recomiendas para recurrir una denegación de visado?","¿A qué abogado acudir para apelar un visado denegado?","Recomendación de abogado para recurrir una denegación de extranjería","no","negative","es","immigration lawyer"
"N03","negative","¿Dónde estudiar inglés intensivo en Madrid?","¿Dónde estudiar inglés intensivo en Madrid?","¿Qué academia ofrece inglés intensivo en Madrid?","Cursos intensivos de inglés recomendables en Madrid","no","negative","es","intensive English study"
"N04","negative","Best mortgage lender in Spain for non-residents","Best mortgage lender in Spain for non-residents","Which Spanish mortgage lender is best for non-residents?","Where should a non-resident look for a mortgage in Spain?","no","negative","en","mortgage lender"
"N05","negative","What is the best car rental company in Madrid?","What is the best car rental company in Madrid?","Which car hire company is best in Madrid?","Best option for renting a car in Madrid","no","negative","en","car rental"
"N06","negative","¿Qué banco ofrece una buena cuenta para estudiantes extranjeros en España?","¿Qué banco ofrece una buena cuenta para estudiantes extranjeros en España?","¿Cuál es un buen banco español para una cuenta de estudiante extranjero?","Cuenta bancaria en España para estudiantes internacionales: qué banco elegir","no","negative","es","student bank account"
